curve_index,column,vd,sigma,mu,amplitude,baseline,r2
1,ID_#1,,3.7580690181111356,14.523930894500156,4.0127049630182164e-11,3.3475009228971814e-12,0.9458723664154163
2,ID_#2,,3.4259187978468777,13.904103708843547,5.7766170138244573e-11,4.938089297299445e-12,0.9469772821183376
3,ID_#3,,3.3537706862840184,14.332734648016045,7.612117901688341e-11,5.872665228578122e-12,0.9518882606000505
4,ID_#4,,3.362103408805062,14.830394374843127,9.657645444755509e-11,6.7909477819036585e-12,0.9552493116835846
5,ID_#5,,3.3545899464273585,15.196778478310241,1.202828342249208e-10,7.75234157045642e-12,0.9579047998623573
6,ID_#6,,3.282860394849735,15.587942503345753,1.5054658821719383e-10,9.11204048918764e-12,0.962889249751352
7,ID_#7,,3.1952289838797143,15.87999924845242,1.9294716628429417e-10,1.1069402538204641e-11,0.9650388750599578
8,ID_#8,,3.2311468610110565,16.187612744385838,2.317783202287968e-10,1.2214304745383939e-11,0.9667872321102865
9,ID_#9,,3.2091974183742487,16.48517797417932,2.8292277988679653e-10,1.3867872029845882e-11,0.970298208725175
10,ID_#10,,3.181838516186856,16.925263709919225,3.357919239019266e-10,1.587048419832093e-11,0.9716976138474851
11,ID_#11,,3.1500763255452653,17.131503355839364,4.117641851848593e-10,1.840439220362808e-11,0.970825777734432
12,ID_#12,,3.127540290073805,17.273153169318277,5.134006044864387e-10,2.154129665433286e-11,0.9721436785346608
13,ID_#13,,3.1683626728184078,17.696304130722517,5.808602505551617e-10,2.285648793444797e-11,0.9745954013237006
14,ID_#14,,3.1185654870541297,17.787314554076715,7.243445449730027e-10,2.840067605854104e-11,0.973735585690272
15,ID_#15,,3.155291077046964,18.13604575556577,8.375394483908403e-10,3.0266976002610784e-11,0.9741552579854206
16,ID_#16,,3.23264263130564,18.322102641220372,9.805136525787201e-10,3.2081464481530824e-11,0.9745003527256835
17,ID_#17,,3.177879801059654,18.63234161599474,1.1408481991771e-09,3.738469242987435e-11,0.9759848854225824
18,ID_#18,,3.1912843432550284,18.97086816249934,1.2709977071195838e-09,4.0782924419456615e-11,0.9737179681038387
19,ID_#19,,3.2457873862999844,19.168738282276014,1.5192955850578454e-09,4.556163222903847e-11,0.9748557129988504
20,ID_#20,,3.2284570047429497,19.451404801314904,1.72804544887703e-09,5.0686925517693814e-11,0.97602818664213
21,ID_#21,,3.2432884297086595,19.750140753671825,1.9693133608031156e-09,5.6111470471739374e-11,0.9740864050729591
