N,mse,mae,r2
1,6897.497788694456,55.48798724551628,0.777442389641686
2,6042.46692521464,55.411080988394886,0.8050311807639652
3,5001.718260806412,48.426962305546326,0.8386124217922634
4,4651.251689023701,46.71167121374673,0.8499207259216648
5,6137.017159661924,52.99513824134255,0.801980382506096
6,4726.118974293174,47.42048579322825,0.8475050261108001
7,5134.188998097166,47.48469875226995,0.8343380643894733
8,6565.636559665288,53.39148136242844,0.7881503658333369
9,5086.071921558142,46.89893799141553,0.8358906305373749
10,5660.128378633311,50.13469698019333,0.8173678796483758
11,5979.924418977358,52.810525212326986,0.8070492039892577
12,5463.333845933191,49.61639362452689,0.8237177361138768
13,5421.33363186854,49.22653851814197,0.8250729329639703
14,5790.088779263159,51.73774905938818,0.8131745218407378
15,4900.819255624331,47.018032128963725,0.8418680721989459
16,5622.340141904553,51.245177251959774,0.8185871710383334
17,5551.86069681027,50.239955068730204,0.8208612909235581
18,5140.411021326988,48.938575866305655,0.8341373019298038
19,6314.92668296148,52.54295766359406,0.7962398778218559
20,4688.7728400644755,46.449927355287656,0.8487100524326184
21,6266.4521416878615,54.25999992184429,0.7978039780795979
22,4860.921188354045,48.09820795134828,0.8431554402825058
23,6377.769072551313,53.26258316462019,0.7942121784321956
24,5292.63609410352,50.354588587650255,0.829225542698899
25,5312.3176534020495,49.85075491518708,0.8285904890983331
26,5177.49385698289,49.62273598256023,0.8329407713122203
27,5265.528216955926,49.902993993377535,0.8301002170438105
28,5699.4743704131715,49.81865630423154,0.8160983250684444
29,5048.614750628387,48.35661091282856,0.8370992396168259
30,5664.153334801346,49.463834338136635,0.8172380086931399
31,6192.83286793878,55.5953122086841,0.8001794090175774
32,5240.585851504111,49.26903035593487,0.830905018063209
33,5891.452071656532,51.31672660367993,0.8099038905445456
34,6147.750215878595,53.89203323428535,0.801634065128896
35,5262.542674392648,49.763191733919406,0.8301965498356232
36,5801.93808724626,50.7299470670969,0.8127921870071636
37,5531.224851202894,49.7881045445237,0.8215271359338499
38,5589.316518484489,50.89112281980858,0.8196527253797626
39,6111.814554316687,53.17307410849765,0.8027935805370737
40,5497.906508695501,49.869276647360465,0.8226021998072591
41,5184.655218595622,49.34927346537521,0.8327096997589892
42,5870.699511068615,50.092571015798555,0.8105735015302618
43,6056.933260169809,52.44300712820335,0.8045644038200794
44,5021.170751849018,48.82712441741602,0.8379847594059042
45,5875.953715242554,52.37391214151281,0.8104039671337153
46,5893.699063607262,54.54506718180678,0.8098313881423167
47,5538.646234743421,50.41317431622423,0.8212876744020116
48,5693.2723869722395,50.03435275939692,0.8162984409157243
49,5179.6606468446735,49.0266262098599,0.8328708567448568
50,5535.108020508076,48.914064072196425,0.8214018399341042
51,5751.250107826636,51.894091427074095,0.8144277070057366
52,5830.633587172588,51.944497611888664,0.8118662857474186
53,6222.027177545442,53.469428811733934,0.7992374129515882
54,7049.181470782633,58.46459818735521,0.7725480991540215
55,5469.053149729505,50.28632655392074,0.8235331946142177
56,6263.175533018438,53.451693552603494,0.7979097025347389
57,5225.055288266848,47.631201438275255,0.8314061338514981
58,5465.940076634108,50.723812323450126,0.8236336423606624
59,6089.155790951876,55.043417265038585,0.8035246978759458
60,5800.433241336573,51.582983679738085,0.812840743008177
61,5901.225167881099,52.05896608825258,0.8095885476465592
62,6686.511011138052,54.746403618707596,0.7842501791428469
63,7092.534166603846,57.55027713378317,0.7711492625497713
64,5441.347698730908,51.32251399249201,0.8244271505322976
65,5256.369370788072,50.055245748210616,0.8303957402870508
66,5214.58479086338,49.80051474841906,0.8317439793938626
67,5865.977019150519,51.87617506233954,0.8107258794720063
68,5933.899318680707,51.3175996138349,0.8085342695380012
69,5714.0128795674855,50.1045702580131,0.8156292193210153
70,5142.250874477871,48.587843457136444,0.8340779364420262
71,5312.7823345479665,49.00711562702389,0.8285754954979605
72,6380.730879145026,53.83417585708284,0.7941166115153173
73,6542.209614419478,54.04025009457584,0.7889062696569595
74,5574.401081885408,50.8659568899549,0.8201339932291534
75,5942.009994020828,51.52513822504331,0.808272567022482
76,6820.874914324303,56.84460801187213,0.7799147360404856
77,5439.193016441924,50.13399988819844,0.8244966744315446
78,6473.810581257717,55.30909213393923,0.7911132620819882
79,6707.810562479013,55.694025537242055,0.7835629187198109
80,5424.261331042736,51.15838451288615,0.8249784665716613
