O2_Ar_Ratio,Thickness_um,Thickness_nm,mobility_Measured
0.0,0.01,10.0,5.112
1.0,0.01,10.0,0.992
0.5384615384615384,0.01,10.0,3.106
0.1111111111111111,0.01,10.0,9.79
0.17647058823529413,0.01,10.0,11.6
0.25,0.01,10.0,12.27
0.25,0.008,8.0,10.19
0.25,0.006,6.0,8.44
0.25,0.004,4.0,2.19
0.25,0.002,2.0,0.06
0.0,0.002,2.0,0.032
0.1111111111111111,0.002,2.0,0.041
0.5384615384615384,0.002,2.0,0.024
1.0,0.002,2.0,0.002
0.0,0.007,7.0,5.068
0.1111111111111111,0.007,7.0,8.013
0.5384615384615384,0.007,7.0,3.895
1.0,0.007,7.0,0.651
